Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.261043548583984,24.729266505118662,23.82166783410134,24.718170500399545,212818400
2015-01-05,23.57757568359375,24.11015184940222,23.39117495671791,24.030265339880305,257142000
2015-01-06,23.579795837402344,23.839426153600677,23.21808699514755,23.641929414645055,263188400
2015-01-07,23.91042709350586,24.01028434847797,23.677424574554454,23.78837783252896,160423600
2015-01-08,24.82912826538086,24.886824452930725,24.121245700213183,24.23885761526062,237458000
2015-01-09,24.85575294494629,25.13091659074848,24.456320480868424,25.002210386433102,214798000
2015-01-12,24.2432918548584,24.99333542358363,24.143434579343243,24.986678497617646,198603200
2015-01-13,24.458539962768555,25.0310592622604,24.16784292699338,24.727046682372265,268367600
2015-01-14,24.365341186523438,24.518455563065594,24.07686197869801,24.196691725347986,195826400
2015-01-15,23.70406150817871,24.423038374576155,23.668557334696477,24.409724521146927,240056000
2015-01-16,23.51987648010254,23.87270880076629,23.34457008962357,23.75065951213766,314053200
2015-01-20,24.125682830810547,24.181159473930325,23.633049969024885,23.930403963500748,199599600
2015-01-21,24.30986785888672,24.644945594224467,24.025825998667738,24.176722549122562,194303600
2015-01-22,24.942302703857422,24.957836098464018,24.34759293561303,24.467422705298063,215185600
2015-01-23,25.071008682250977,25.2418760211608,24.74924309298661,24.92011212490945,185859200
2015-01-26,25.09763526916504,25.377238049714297,25.03106430723337,25.23965535290147,222460000
2015-01-27,24.21887969970703,24.9600484254959,24.194469844806008,24.94673288181463,382274800
2015-01-28,25.588043212890625,26.21160175682481,25.588043212890625,26.102866330590285,585908400
2015-01-29,26.384689331054688,26.449042434197793,25.643520568141522,25.81217002144716,337745600
2015-01-30,25.998577117919922,26.62879102622777,25.929784923186702,26.273740817813987,334982000
2015-02-02,26.32478141784668,26.44461119442779,25.758920559173443,26.19607686641939,250956400
2015-02-03,26.329212188720703,26.426849918332245,26.09842917625348,26.295925868006783,207662800
2015-02-04,26.531156539916992,26.741968857394376,26.253773248246688,26.295936050344814,280598800
2015-02-05,26.720518112182617,26.785125203713097,26.566797732344764,26.738339410088408,168984800
2015-02-06,26.495500564575195,26.78957314987504,26.388564306423362,26.738332469997374,174826400
2015-02-09,26.671499252319336,26.698232042544156,26.384109859543177,26.410844349462188,155559200
2015-02-10,27.18389892578125,27.2128617162374,26.769525359250984,26.771751958752017,248034000
2015-02-11,27.821056365966797,27.829967863004374,27.29083503993794,27.350985520323754,294247200
2015-02-12,28.17306137084961,28.400300364797214,27.974785175957063,28.083948073217112,297898000
2015-02-13,28.311185836791992,28.355741633824508,27.99260695889488,28.355741633824508,217088800
2015-02-17,28.478267669677734,28.712189812630196,28.27553491915968,28.402520788269594,252609600
2015-02-18,28.67654800415039,28.6899144029449,28.393613431905806,28.43371432798399,179566800
2015-02-19,28.61638832092285,28.745602474435017,28.589655530330138,28.62307151857103,149449600
2015-02-20,28.850322723388672,28.850322723388672,28.527288901730635,28.65427311051378,195793600
