Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,BB_High,BB_Low,BB_Width
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
2015-03-16,27.836660385131836,27.836660385131836,27.373274281820116,27.598283283535313,143497200,28.451758193969727,26.612771110534666,51.177517566023674,29.65427919786552,27.249237190073934,2.405042007791586
2015-03-17,28.302274703979492,28.36465350051074,27.992607321417427,28.048302918276715,204092400,28.442958545684814,26.693595733642578,56.04266297084751,29.647149370208176,27.23876772116145,2.4083816490467242
2015-03-18,28.620847702026367,28.774568061657938,28.153005124528036,28.29335738786922,261083600,28.440173530578612,26.794461174011232,59.04945229736218,29.6424466359907,27.237900425166522,2.4045462108241793
2015-03-19,28.40475845336914,28.794627687042833,28.38248055138392,28.68323647742178,183238000,28.429592037200926,26.890960426330565,56.23935820818251,29.62919749861745,27.2299865757844,2.399210922833049
2015-03-20,28.048297882080078,28.605252050974638,27.883439420892177,28.57183605861484,274780400,28.389490795135497,26.97371784210205,51.85544101221171,29.58376673020472,27.195214860066276,2.3885518701384427
2015-03-23,28.340137481689453,28.482718024267633,28.18641714372161,28.320087889621025,150838800,28.324995231628417,27.043938026428222,54.95157004179669,29.374922200213646,27.275068263043188,2.099853937170458
2015-03-24,28.22429847717285,28.525052631476665,28.195335681803996,28.344601158711114,131369200,28.263952827453615,27.111308937072753,53.481392368125704,29.17966135434093,27.3482443005663,1.8314170537746293
2015-03-25,27.48688316345215,28.253254919764572,27.48688316345215,28.19087613954273,206620800,28.20369005203247,27.17618076324463,45.192474144056966,29.15662999078937,27.250750113275572,1.9058798775137973
2015-03-26,27.67848014831543,27.821060723861976,27.31311721101558,27.348763204749485,190291600,28.134850215911865,27.240579566955567,47.47050487158355,29.02886805766169,27.24083237416204,1.7880356834996505
2015-03-27,27.457927703857422,27.780961467554363,27.382182512251926,27.75200037071014,158184800,28.07681550979614,27.302431297302245,45.14439050815258,28.988206543435254,27.16542447615703,1.8227820672782258
2015-03-30,28.15300750732422,28.15969070618787,27.62501270106702,27.636152498969455,188398800,28.046517181396485,27.391410217285156,52.966470611998304,28.903870459676323,27.189163903116647,1.7147065565596762
2015-03-31,27.720813751220703,28.179744945544357,27.7052190514047,28.09063164672656,168362400,27.991601753234864,27.475428962707518,48.3498435836934,28.78206024887967,27.201143257590058,1.5809169912896124
2015-04-01,27.680713653564453,27.874534956630463,27.424513549427502,27.807699555657397,162485600,27.943815231323242,27.5465295791626,47.93239355364125,28.686685597143768,27.200944865502716,1.4857407316410516
2015-04-02,27.919084548950195,27.972551838021896,27.66734110069705,27.85447746229525,128880400,27.931673431396483,27.618713912963866,50.659519995781054,28.667795040055655,27.19555182273731,1.4722432173183435
2015-04-06,28.371337890625,28.406983889964096,27.69853580020015,27.72972519977446,148776000,27.940028190612793,27.68729461669922,55.42931991277172,28.691957695384552,27.188098685841034,1.5038590095435183
2015-04-07,28.072805404663086,28.54287461627673,28.06612220587488,28.43594003627644,140049200,27.927440929412843,27.74733055114746,51.865084524772556,28.661415506772137,27.193466352053548,1.467949154718589
2015-04-08,27.981468200683594,28.159694794832983,27.84111590508492,28.03716379889343,149316800,27.939582347869873,27.80500720977783,50.789022073353706,28.668680175556922,27.210484520182824,1.458195655374098
2015-04-09,28.195335388183594,28.19979198728373,27.77205025717625,28.03716011401972,129936000,27.987703704833983,27.884536323547362,53.23559908669202,28.64764707319907,27.327760336468895,1.3198867367301759
2015-04-10,28.31563377380371,28.340139966053933,27.90571510288052,28.059433754629573,160752000,28.017222023010255,27.939088134765626,54.60278150328093,28.68037584325418,27.35406820276633,1.3263076404878476
2015-04-13,28.25994300842285,28.643130652588724,28.206475716078707,28.598571459528543,145460400,28.05353546142578,27.976593208312988,53.81835977048151,28.6856092939396,27.421461628911963,1.264147665027636
2015-04-14,28.13741683959961,28.35797093215795,28.05053184254042,28.293363834399493,102098400,28.06857328414917,28.019370002746584,52.04678648795146,28.69356371821759,27.44358285008075,1.2499808681368378
2015-04-15,28.244346618652344,28.32232010275282,28.0728049536313,28.161918235329477,115881600,28.065676879882812,28.057761306762696,53.48581236478978,28.68683343691547,27.444520322850153,1.2423131140653183
2015-04-16,28.108448028564453,28.315635677165186,28.095081631781955,28.13295422246197,113476000,28.040056896209716,28.09334602355957,51.37568122742481,28.607448189737408,27.472665602682024,1.1347825870553834
2015-04-17,27.792097091674805,28.101764410267815,27.727490008700773,27.970323644685543,207828000,28.009423828125,28.118564834594725,46.75178669413155,28.560672146311997,27.458175509938005,1.102496636373992
2015-04-20,28.42702865600586,28.542874734769516,27.885667455885272,27.97478073938513,188217200,28.02836036682129,28.15269504547119,55.423397316872936,28.608891897707,27.447828835935578,1.1610630617714222
2015-04-21,28.27330780029297,28.56069552534772,28.219838814506353,28.538419330811536,129740400,28.025018882751464,28.188251190185547,53.16594380453231,28.599066834974206,27.450970930528722,1.1480959044454835
2015-04-22,28.654273986816406,28.70996959223279,28.141875436802668,28.29113925139178,150618000,28.046517658233643,28.22790668487549,57.758012121148646,28.678128446543973,27.414906869923314,1.2632215766206585
2015-04-23,28.888181686401367,29.055268418650506,28.54732502456418,28.58297100996385,183083600,28.116582584381103,28.26199234008789,60.32990334737113,28.79358873362809,27.439576435134114,1.354012298493977
2015-04-24,29.024078369140625,29.1020535355,28.790156269450687,29.07086414883389,178103600,28.183862495422364,28.286052780151365,61.78564337187659,28.936560277651914,27.431164713192814,1.5053955644591
2015-04-27,29.552082061767578,29.659020054313498,29.217908483687783,29.47633686658962,387816800,28.288570213317872,28.313633193969725,66.8722209508187,29.178349859438658,27.398790567197086,1.7795592922415722
2015-04-28,29.086463928222656,29.973136755491907,28.86591157083985,29.95531715842963,475696000,28.335243034362794,28.32913875579834,59.36763895744392,29.287422553339816,27.38306351538577,1.9043590379540447
2015-04-29,28.658723831176758,29.31593114028446,28.582978641519965,28.99735398411014,253544400,28.382138538360596,28.33274787902832,53.435080956410665,29.300437171466115,27.463839905255078,1.8365972662110366
